Generic	Shape	Route	Indication	Dep	Diagn	Gender	MinAge	MaxAge	MinWeight	MaxWeight	MinBSA	MaxBSA	MinGestAge	MaxGestAge	MinPMAge	MaxPMAge	DoseType	Substance	Freqs	DoseUnit	AdjustUnit	FreqUnit	RateUnit	MinTime	MaxTime	TimeUnit	MinInt	MaxInt	IntUnit	MinDur	MaxDur	DurUnit	NormQty	MinQty	MaxQty	NormQtyAdj	MinQtyAdj	MaxQtyAdj	NormPerTime	MinPerTime	MaxPerTime	NormPerTimeAdj	MinPerTimeAdj	MaxPerTimeAdj	NormRate	MinRate	MaxRate	NormRateAdj	MinRateAdj	MaxRateAdj
cefuroxim	tablet	or	otitis media, cystitis				90			40,000							onderhoud	cefuroxim	2	mg	kg	dag																				30								
cefuroxim	tablet	or	otitis media, cystitis				90		40,000								onderhoud	cefuroxim	2	mg		dag																												
cefuroxim	poeder voor injectievloeistof	iv	profylaxe cardiovasculaire en oesofageale operaties				30	7200									onderhoud	cefuroxim	4	mg	kg	dag													1500							200								
celecoxib	capsule	or	juveniele idiopathische arthritis (j.i.a.)				720		10,000	25,000							onderhoud	celecoxib	2	mg		dag																												
celecoxib	capsule	or	juveniele idiopathische arthritis (j.i.a.)				720	7800	25,000								onderhoud	celecoxib	2	mg		dag																												
cetirizine	tablet	or	symptomatische behandeling van allergische rhinitis (met inbegrip van persisterende allergische rhinitis),chronische idiopathische urticaria en acute voedselallergie				360	720									onderhoud	cetirizine	2	mg	kg	dag																				0.5								
cetirizine	tablet	or	symptomatische behandeling van allergische rhinitis (met inbegrip van persisterende allergische rhinitis),chronische idiopathische urticaria en acute voedselallergie				720	2160									onderhoud	cetirizine	1; 2	mg		dag																												
cetirizine	tablet	or	symptomatische behandeling van allergische rhinitis (met inbegrip van persisterende allergische rhinitis),chronische idiopathische urticaria en acute voedselallergie				2160	4320									onderhoud	cetirizine	1; 2	mg		dag																												
cetirizine	tablet	or	symptomatische behandeling van allergische rhinitis (met inbegrip van persisterende allergische rhinitis),chronische idiopathische urticaria en acute voedselallergie				4320	7200									onderhoud	cetirizine	1	mg		dag																												
cetomacrogolcreme	creme	cutaan	droge, schilferige huid (indifferente middelen)					7200									onderhoud		1; 2; 3; 4; 5; 6; 7; 8	keer		dag																												
cetomacrogolsmeersel	creme	cutaan	droge, schilferige huid (indifferente middelen)					7200									onderhoud		1; 2; 3; 4; 5; 6; 7; 8	keer		dag																												
chlooramfenicol	oogdruppels	oog	ooginfecties (geen trachoma)					30					224				onderhoud	chlooramfenicol	4; 5; 6	mg		dag													1					4	6									
chlooramfenicol	oogdruppels	oog	ooginfecties (geen trachoma)				30	7200									onderhoud	chlooramfenicol	4; 5; 6	mg		dag													1					4	6									
chlooramfenicol	oogzalf	oog	ooginfecties (geen trachoma)					7200									onderhoud		1	keer		dag													1				1		1									
chloorhexidine	creme	cutaan	desinfectie van de huid					7200									onderhoud		1	keer		dag																	1		2									
chloorhexidine	oplossing voor cutaan gebruik	cutaan	desinfectie van de huid					7200									onderhoud		1	keer		dag																	1		2									
chloortalidon	tablet	or	hypertensie, stabiel hartfalen, oedeem				30	7200									onderhoud	chloortalidon	1	mg	kg	2 dagen																					0.5	1.7						
chloroquine	tablet	or	profylaxe malaria						10,000	45,000							onderhoud	chloroquine	1	mg	kg	week																				5		5.5						
chloroquine	tablet	or	profylaxe malaria						45,000								onderhoud	chloroquine	1	mg		week													300															
choriongonadotrofine	poeder voor injectievloeistof	sc	Cryptorchidisme					720									onderhoud	choriongonadotrofine	2	IE		week																	500		550									
choriongonadotrofine	poeder voor injectievloeistof	sc	Cryptorchidisme				720	2160									onderhoud	choriongonadotrofine	2	IE		week																		1000	2000									
choriongonadotrofine	poeder voor injectievloeistof	sc	Cryptorchidisme				2160	7200									onderhoud	choriongonadotrofine	2	IE		week																	3000		3300									
choriongonadotrofine	poeder voor injectievloeistof	im	hypogonadotroop hypogonadisme, puberteitsinductie				4320	7200									onderhoud	choriongonadotrofine	2	IE		week													750					1000	1500									
ciclesonide	aerosol	inh	astma, verminderen bronchiale hyperreactiviteit				4320	7200									onderhoud	ciclesonide	1	microg		dag																	160		176									
ciclosporine	capsule, zacht	or	ernstig constitutioneel eczeem				720	7200									onderhoud	ciclosporine	2	mg	kg	dag																					2.5	3						
ciclosporine	drank	or	ernstig constitutioneel eczeem				720	7200									onderhoud	ciclosporine	2	mg	kg	dag																					2.5	3						
ciclosporine	capsule, zacht	or	nefrotisch syndroom				360										onderhoud	ciclosporine	2	mg	kg	dag																				6		6.6						
ciclosporine	drank	or	nefrotisch syndroom				360										onderhoud	ciclosporine	2	mg	kg	dag																				6		6.6						
ciclosporine	capsule, zacht	or	profylaxe afstotingsreactie bij solide orgaan transplantatie				30	7200									onderhoud	ciclosporine	2	mg	kg	dag																				2	6	2.2						
ciclosporine	drank	or	profylaxe afstotingsreactie bij solide orgaan transplantatie				30	7200									onderhoud	ciclosporine	2	mg	kg	dag																				2	6	2.2						
ciclosporine	capsule, zacht	or	profylaxe afstotingsreactie na beenmergtransplantatie				30	7200									onderhoud	ciclosporine	2	mg	kg	dag																				12.5		13.75						
ciclosporine	drank	or	profylaxe afstotingsreactie na beenmergtransplantatie				30	7200									onderhoud	ciclosporine	2	mg	kg	dag																				12.5		13.75						
ciclosporine	capsule, zacht	or	psoriasis, ernstig, refractair				30	7200									onderhoud	ciclosporine	2	mg	kg	dag																						3						
ciclosporine	drank	or	psoriasis, ernstig, refractair				30	7200									onderhoud	ciclosporine	2	mg	kg	dag																						3						
ciclosporine	capsule, zacht	or	rescue therapie bij colitis ulcerosa om colectomie uit te stellen				30	7200									onderhoud	ciclosporine	2	mg	kg	dag																				5		5.5						
ciclosporine	drank	or	rescue therapie bij colitis ulcerosa om colectomie uit te stellen				30	7200									onderhoud	ciclosporine	2	mg	kg	dag																				5		5.5						
cidofovir	infusievloeistof	iv	cmv infectie, adenovirusinfectie bij immuungecompromitteerde patiënten				30	7200									onderhoud	cidofovir	3	mg	kg	week																				3		3						
cidofovir	infusievloeistof	iv	Larynxpapillomatose				30	7200									onderhoud	cidofovir	1; 3	mg	kg	week																				3		5						
cimetidine	tablet	or	gerd, chronische erosieve oesofagitis, therapie resistente ulcera					30					259				onderhoud	cimetidine	4; 5; 6	mg	kg	dag																					10	15						
cimetidine	tablet	or	gerd, chronische erosieve oesofagitis, therapie resistente ulcera				30	360									onderhoud	cimetidine	4; 5; 6	mg	kg	dag																				20		22						
cimetidine	tablet	or	gerd, chronische erosieve oesofagitis, therapie resistente ulcera				360	4320									onderhoud	cimetidine	4	mg	kg	dag																					20	30						
cimetidine	tablet	or	gerd, chronische erosieve oesofagitis, therapie resistente ulcera				4320	7200									onderhoud	cimetidine	1; 2	mg		dag																												
cinnarizine	tablet	or	reisziekte				1800	4320									onderhoud	cinnarizine	3; 4	mg		dag													12.5						50									
cinnarizine	tablet	or	reisziekte				4320	7200									onderhoud	cinnarizine	3; 4	mg		dag													25						150									
cinnarizine/chloorcyclizine	tablet	or	reisziekte				2160										onderhoud	cinnarizine+chloorcyclizine	3	mg		dag																	18.75		18.75									
ciprofloxacine	infusievloeistof	iv	bronchopulmonale infecties bij cystische fibrose, veroorzaakt door pseudomonas aeruginosa				30	7200									onderhoud	ciprofloxacine	2; 3	mg	kg	dag																				40								
ciprofloxacine	suspensie voor oraal gebruik	or	bronchopulmonale infecties bij cystische fibrose, veroorzaakt door pseudomonas aeruginosa				30	7200									onderhoud	ciprofloxacine	2	mg	kg	dag																				30								
ciprofloxacine	tablet	or	bronchopulmonale infecties bij cystische fibrose, veroorzaakt door pseudomonas aeruginosa				30	7200									onderhoud	ciprofloxacine	2	mg	kg	dag																				30								
ciprofloxacine	infusievloeistof	iv	gecompliceerde urineweginfecties, pyelonefritis, sepsis en febrile neutropenie													238	onderhoud	ciprofloxacine	2	mg	kg	dag																				15		16.5						
ciprofloxacine	infusievloeistof	iv	gecompliceerde urineweginfecties, pyelonefritis, sepsis en febrile neutropenie					30							238	259	onderhoud	ciprofloxacine	2	mg	kg	dag																				25		27.5						
ciprofloxacine	infusievloeistof	iv	gecompliceerde urineweginfecties, pyelonefritis, sepsis en febrile neutropenie				30	7200									onderhoud	ciprofloxacine	2; 3	mg	kg	dag													400								20	30						
ciprofloxacine	suspensie voor oraal gebruik	or	gecompliceerde urineweginfecties, pyelonefritis, sepsis en febrile neutropenie				30	7200									onderhoud	ciprofloxacine	2	mg	kg	dag																				30								
ciprofloxacine	tablet	or	gecompliceerde urineweginfecties, pyelonefritis, sepsis en febrile neutropenie				30	7200									onderhoud	ciprofloxacine	2	mg	kg	dag																				30								
ciprofloxacine	suspensie voor oraal gebruik	or	perianale fistels bij ziekte van crohn				30	7200									onderhoud	ciprofloxacine	2	mg	kg	dag													500							20								
ciprofloxacine	tablet	or	perianale fistels bij ziekte van crohn				30	7200									onderhoud	ciprofloxacine	2	mg	kg	dag													500							20								
ciprofloxacine	infusievloeistof	iv	postexpositieprofylaxe en behandeling van anthrax				30	7200									onderhoud	ciprofloxacine	2	mg	kg	dag													400							20								
ciprofloxacine	suspensie voor oraal gebruik	or	postexpositieprofylaxe en behandeling van anthrax				30	7200									onderhoud	ciprofloxacine	2	mg	kg	dag																				30								
ciprofloxacine	tablet	or	postexpositieprofylaxe en behandeling van anthrax				30	7200									onderhoud	ciprofloxacine	2	mg	kg	dag																				30								
ciprofloxacine	infusievloeistof	iv	selectieve darm decontaminatie bij immuungecompromitteerde patiënten in aplasie				30	7200									onderhoud	ciprofloxacine	2	mg	kg	dag													400							30								
ciprofloxacine	suspensie voor oraal gebruik	or	selectieve darm decontaminatie bij immuungecompromitteerde patiënten in aplasie				30	7200									onderhoud	ciprofloxacine	2	mg	kg	dag													500							30								
ciprofloxacine	tablet	or	selectieve darm decontaminatie bij immuungecompromitteerde patiënten in aplasie				30	7200									onderhoud	ciprofloxacine	2	mg	kg	dag													500							30								
ciprofloxacine	infusievloeistof	iv	tularemie, pest				30	7200									onderhoud	ciprofloxacine	2	mg	kg	dag																				30								
ciprofloxacine	suspensie voor oraal gebruik	or	tularemie, pest				30	7200									onderhoud	ciprofloxacine	2	mg	kg	dag																				30								
ciprofloxacine	tablet	or	tularemie, pest				30	7200									onderhoud	ciprofloxacine	2	mg	kg	dag																				30								
citalopram	druppels voor oraal gebruik	or	autisme spectrum stoornissen (ass)				2160	7200									onderhoud	citalopram	1; 2	mg		dag																												
citalopram	omhulde tablet	or	autisme spectrum stoornissen (ass)				2160	7200									onderhoud	citalopram	1; 2	mg		dag																												
citalopram	druppels voor oraal gebruik	or	obsessieve compulsieve stoornis en depressie				2160	7200									onderhoud	citalopram	1; 2	mg		dag																												
citalopram	omhulde tablet	or	obsessieve compulsieve stoornis en depressie				2160	7200									onderhoud	citalopram	1; 2	mg		dag																												
claritromycine	suspensie voor oraal gebruik	or	eradicatie h.pylori (triple therapie)					7200									onderhoud	claritromycine	2	mg	kg	dag																				15								
claritromycine	tablet	or	eradicatie h.pylori (triple therapie)					7200									onderhoud	claritromycine	2	mg	kg	dag																				15								
claritromycine	suspensie voor oraal gebruik	or	infecties					7200									onderhoud	claritromycine	2	mg	kg	dag																				15								
claritromycine	tablet	or	infecties					7200									onderhoud	claritromycine	2	mg	kg	dag																				15								
claritromycine	tablet met gereguleerde afgifte	or	infecties				4320	7200									onderhoud	claritromycine	1	mg		dag																												
claritromycine	suspensie voor oraal gebruik	or	infecties bij cystische fibrose				30	7200									onderhoud	claritromycine	2	mg	kg	dag																				15								
claritromycine	tablet	or	infecties bij cystische fibrose				30	7200									onderhoud	claritromycine	2	mg	kg	dag																				15								
clemastine	injectievloeistof	im	anafylaxie en quincke oedeem				30	7200									onderhoud	clemastine	1; 2	microg	kg	dag													2000								25	50						
clemastine	tablet	or	anafylaxie en quincke oedeem				30	7200									onderhoud	clemastine	1; 2	mg	kg	dag													2000								25	100						
clemastine	injectievloeistof	im	preventie allergische aandoeningen en anafylactische shock				30	7200									onderhoud	clemastine	1; 2	microg	kg	dag													2000								25	50						
clemastine	injectievloeistof	iv	preventie allergische aandoeningen en anafylactische shock				30	7200									onderhoud	clemastine	1; 2	microg	kg	dag													2000								25	50						
clemastine	tablet	or	preventie allergische aandoeningen en anafylactische shock				30	7200									onderhoud	clemastine	1; 2	mg	kg	dag													2000								25	100						
clindamycine	capsule	or	behandeling malaria				30	7200									onderhoud	clindamycine	3; 4	mg	kg	dag																				16		17.6						
clindamycine	suspensie voor oraal gebruik	or	behandeling malaria				30	7200									onderhoud	clindamycine	3; 4	mg	kg	dag																				16		17.6						
clindamycine	capsule	or	ernstige infecties					30									onderhoud	clindamycine	4	mg	kg	dag																				20		30						
clindamycine	capsule	or	ernstige infecties				30	7200									onderhoud	clindamycine	3; 4	mg	kg	dag																					30	40						
clindamycine	injectievloeistof	iv	ernstige infecties					7		2,000							onderhoud	clindamycine	2	mg	kg	dag		30		min																10		11						
clindamycine	injectievloeistof	iv	ernstige infecties					7	2,000								onderhoud	clindamycine	3	mg	kg	dag		30		min																15		16.5						
clindamycine	injectievloeistof	iv	ernstige infecties				7	30		2,000							onderhoud	clindamycine	2	mg	kg	dag		30		min																10		11						
clindamycine	injectievloeistof	iv	ernstige infecties				7	30	2,000								onderhoud	clindamycine	4	mg	kg	dag		30		min																20		22						
clindamycine	injectievloeistof	iv	ernstige infecties				30	7200									onderhoud	clindamycine	3; 4	mg	kg	dag		30		min																40								
clindamycine	suspensie voor oraal gebruik	or	ernstige infecties					30									onderhoud	clindamycine	4	mg	kg	dag																				20		30						
clindamycine	suspensie voor oraal gebruik	or	ernstige infecties				30	7200									onderhoud	clindamycine	3; 4	mg	kg	dag																					30	40						
clindamycine	capsule	or	infecties				30	7200									onderhoud	clindamycine	3; 4	mg	kg	dag																					8	25						
clindamycine	suspensie voor oraal gebruik	or	infecties				30	7200									onderhoud	clindamycine	3; 4	mg	kg	dag																					8	25						
clobazam	tablet	or	(adjuvans bij) epilepsie				30	5760									onderhoud	clobazam	1; 2	mg	kg	dag																					0.5	1						
clobazam	tablet	or	(adjuvans bij) epilepsie				5760	7200									onderhoud	clobazam	1; 2	mg	kg	dag																					0.5	1						
clobazam	tablet	or	febriele convulsies				180	2160									onderhoud	clobazam	1; 2	mg	kg	dag																				0.5								
clobazam	tablet	or	kortdurende behandeling van acute angst en plotselinge extreme slapeloosheid				720	1800									onderhoud	clobazam	1; 2	mg		dag																												
clobazam	tablet	or	kortdurende behandeling van acute angst en plotselinge extreme slapeloosheid				1800	7200									onderhoud	clobazam	2; 3	mg		dag																												
clobetasol	creme	cutaan	Niet-infectieuze huidaandoeningen				360	7200									onderhoud		1; 2	keer		dag													1				1		2									
clobetasol	oplossing voor cutaan gebruik	cutaan	Niet-infectieuze huidaandoeningen				360	7200									onderhoud		1; 2	keer		dag													1				1		2									
clobetasol	schuim voor cutaan gebruik	cutaan	Niet-infectieuze huidaandoeningen				360	7200									onderhoud		1; 2	keer		dag													1				1		2									
clobetasol	shampoo	cutaan	Niet-infectieuze huidaandoeningen				360	7200									onderhoud		1; 2	keer		dag													1				1		2									
clobetasol	zalf	cutaan	Niet-infectieuze huidaandoeningen				360	7200									onderhoud		1; 2	keer		dag													1				1		2									
clobetasol	creme	cutaan	phimosis				60	5040									onderhoud		2	keer		dag													1						2									
clobetasol	creme	cutaan	phimosis				720	5040									onderhoud		2	keer		dag													1						2									
clobetasol	oplossing voor cutaan gebruik	cutaan	phimosis				60	5040									onderhoud		2	keer		dag													1						2									
clobetasol	oplossing voor cutaan gebruik	cutaan	phimosis				720	5040									onderhoud		2	keer		dag													1						2									
clobetasol	schuim voor cutaan gebruik	cutaan	phimosis				60	5040									onderhoud		2	keer		dag													1						2									
clobetasol	schuim voor cutaan gebruik	cutaan	phimosis				720	5040									onderhoud		2	keer		dag													1						2									
clobetasol	shampoo	cutaan	phimosis				60	5040									onderhoud		2	keer		dag													1						2									
clobetasol	shampoo	cutaan	phimosis				720	5040									onderhoud		2	keer		dag													1						2									
clobetasol	zalf	cutaan	phimosis				60	5040									onderhoud		2	keer		dag													1						2									
clobetasol	zalf	cutaan	phimosis				720	5040									onderhoud		2	keer		dag													1						2									
clobetason	creme	cutaan	constitutioneel eczeem				30	720									onderhoud		1	keer		dag																	1		1									
clobetason	creme	cutaan	constitutioneel eczeem				720	7200									onderhoud		1	keer		dag																	1		1									
clobetason	zalf	cutaan	constitutioneel eczeem				30	720									onderhoud		1	keer		dag																	1		1									
clobetason	zalf	cutaan	constitutioneel eczeem				720	7200									onderhoud		1	keer		dag																	1		1									
clofarabine	concentraat voor oplossing voor infusie	iv	conditionering voor sct bij aml/all				360	7200									onderhoud	clofarabine	1	mg	m2	dag																				30		33						
clofarabine	concentraat voor oplossing voor infusie	iv	recidiverende/refractaire acute lymfatische leukemie (all), recidiverende/refractaire acute myeloïde leukemie (aml)				360	7200									onderhoud	clofarabine	1	mg	m2	dag																				52		57.2						
clomipramine	omhulde tablet	or	obsessief compulsieve stoornis				1800	7200									onderhoud	clomipramine	2	mg	kg	dag																					0.5	3						
clomipramine	tablet met gereguleerde afgifte	or	obsessief compulsieve stoornis				1800	7200									onderhoud	clomipramine	1	mg		dag													75					0.5	3									
clonazepam	druppels voor oraal gebruik	or	acute angsten (kort gebruik)				2160	7200									onderhoud	clonazepam	2; 3	mg	kg	dag																					0.02	0.1						
clonazepam	tablet	or	acute angsten (kort gebruik)				2160	2160									onderhoud	clonazepam	2; 3	mg	kg	dag																					0.02	0.1						
clonazepam	druppels voor oraal gebruik	or	epilepsie				30	7200		30,000							onderhoud	clonazepam	1; 2; 3	mg		dag																		0.05	0.3									
clonazepam	tablet	or	epilepsie				30	7200		30,000							onderhoud	clonazepam	1; 2; 3	mg		dag																		0.05	0.3									
clonidine	drank	or	adhd en tics							25,000							onderhoud	clonidine	3	microg	kg	dag																					3	5						
clonidine	drank	or	adhd en tics						25,000								onderhoud	clonidine	3	microg	kg	dag																					3	5						
clonidine	tablet	or	adhd en tics							25,000							onderhoud	clonidine	3	mg	kg	dag																					0.003	0.005						
clonidine	tablet	or	adhd en tics						25,000								onderhoud	clonidine	3	mg	kg	dag																					3	5						
clonidine	drank	or	Hypertensie				30	7200									onderhoud	clonidine	3; 4	microg	kg	dag																					5	25						
clonidine	tablet	or	Hypertensie				30	7200									onderhoud	clonidine	3; 4	mg	kg	dag																					0.005	0.025						
clonidine	drank	or	inslaapstoornissen bij adhd				1440	7200									onderhoud	clonidine	1	microg		dag													75				25											
clonidine	tablet	or	inslaapstoornissen bij adhd				1440	7200									onderhoud	clonidine	1	mg		dag													25															
clonidine	drank	or	neonataal abstinentie syndroom (nas)					30					259				onderhoud	clonidine	4; 5; 6	microg	kg	dag																					0.5	9						
clonidine	tablet	or	neonataal abstinentie syndroom (nas)					30					259				onderhoud	clonidine	4; 5; 6	mg	kg	dag																					6	9						
clonidine	drank	or	sedatie op ic: adjuvans bij benzodiazepinen					7200									onderhoud	clonidine	3	microg		dag																		15	20									
clonidine	tablet	or	sedatie op ic: adjuvans bij benzodiazepinen					7200									onderhoud	clonidine	3	mg		dag																		0.015	0.02									
clonidine	injectievloeistof	iv	sedatie op ic: adjuvans bij benzodiazepinen														continu	clonidine		microg	kg		uur																										0.25	2
clotrimazol	creme	cutaan	Vaginale candidiasis				4320	7200									onderhoud		1	keer		dag													1				1		1									
clotrimazol	creme	cutaan	voetschimmel				30	7200									onderhoud		2	keer		dag													1				2		2									
clozapine	drank	or	therapieresistente psychose				4320	7200									onderhoud	clozapine	2; 3	mg		dag																		12.5										
clozapine	tablet	or	therapieresistente psychose				4320	7200									onderhoud	clozapine	2; 3	mg		dag																		12.5										
codeine	tablet	or	chronische pijn				4320	7200									onderhoud	codeine	1; 2; 3; 4	mg	kg	dag																					0.5	4						
codeine	tablet	or	Diarree				4320										onderhoud	codeine	1; 2; 3; 4	mg		dag																		15	60									
codeine	tablet	or	hoest				4320	7200									onderhoud	codeine	1; 2; 3; 4	mg		dag																												
coffeine	ampul	iv	neonatale apneu					30						259			onderhoud	coffeine	1	mg	kg	dag																				5	2.5	5						
coffeine	drank	or	neonatale apneu					30						259			onderhoud	coffeine	1	mg	kg	dag																				5	2.5	5						
colchicine	tablet	or	familiaire mediterrane fever (f.m.f.) profylaxe					1800									onderhoud	colchicine	1; 2	mg		dag																												
colchicine	tablet	or	familiaire mediterrane fever (f.m.f.) profylaxe				1800	3600									onderhoud	colchicine	1; 2	mg		dag																												
colchicine	tablet	or	familiaire mediterrane fever (f.m.f.) profylaxe				3600	7200									onderhoud	colchicine	1; 2	mg		dag																												
colecalciferol	capsule	or	profylaxe rachitis					30					259				onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	capsule	or	profylaxe rachitis					30		1,250				259			onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	capsule	or	profylaxe rachitis					30	1,250					259			onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	capsule	or	profylaxe rachitis				30	1440									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	capsule	or	profylaxe rachitis				1440	7200									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	drank	or	profylaxe rachitis					30					259				onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	drank	or	profylaxe rachitis					30		1,250				259			onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	drank	or	profylaxe rachitis					30	1,250					259			onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	drank	or	profylaxe rachitis				30	1440									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	drank	or	profylaxe rachitis				1440	7200									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	druppels voor oraal gebruik	or	profylaxe rachitis					30					259				onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	druppels voor oraal gebruik	or	profylaxe rachitis					30		1,250				259			onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	druppels voor oraal gebruik	or	profylaxe rachitis					30	1,250					259			onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	druppels voor oraal gebruik	or	profylaxe rachitis				30	1440									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	druppels voor oraal gebruik	or	profylaxe rachitis				1440	7200									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	tablet	or	profylaxe rachitis					30					259				onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	tablet	or	profylaxe rachitis					30		1,250				259			onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	tablet	or	profylaxe rachitis					30	1,250					259			onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	tablet	or	profylaxe rachitis				30	1440									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	tablet	or	profylaxe rachitis				1440	7200									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	capsule	or	suppletie bij cystische fibrose				30	720									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	capsule	or	suppletie bij cystische fibrose				720	1440									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	capsule	or	suppletie bij cystische fibrose				1440	3600									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	capsule	or	suppletie bij cystische fibrose				3600	7200									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	drank	or	suppletie bij cystische fibrose				30	720									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	drank	or	suppletie bij cystische fibrose				720	1440									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	drank	or	suppletie bij cystische fibrose				1440	3600									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	drank	or	suppletie bij cystische fibrose				3600	7200									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	druppels voor oraal gebruik	or	suppletie bij cystische fibrose				30	720									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	druppels voor oraal gebruik	or	suppletie bij cystische fibrose				720	1440									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	druppels voor oraal gebruik	or	suppletie bij cystische fibrose				1440	3600									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	druppels voor oraal gebruik	or	suppletie bij cystische fibrose				3600	7200									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	tablet	or	suppletie bij cystische fibrose				30	720									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	tablet	or	suppletie bij cystische fibrose				720	1440									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	tablet	or	suppletie bij cystische fibrose				1440	3600									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	tablet	or	suppletie bij cystische fibrose				3600	7200									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	capsule	or	vitamine d deficientie					90					259				onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	capsule	or	vitamine d deficientie					90		1,250				259			onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	capsule	or	vitamine d deficientie					90	1,250					259			onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	capsule	or	vitamine d deficientie				90	360									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	capsule	or	vitamine d deficientie				360	4320									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	capsule	or	vitamine d deficientie				4320	7200									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	drank	or	vitamine d deficientie					90					259				onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	drank	or	vitamine d deficientie					90		1,250				259			onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	drank	or	vitamine d deficientie					90	1,250					259			onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	drank	or	vitamine d deficientie				90	360									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	drank	or	vitamine d deficientie				360	4320									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	drank	or	vitamine d deficientie				4320	7200									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	druppels voor oraal gebruik	or	vitamine d deficientie					90					259				onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	druppels voor oraal gebruik	or	vitamine d deficientie					90		1,250				259			onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	druppels voor oraal gebruik	or	vitamine d deficientie					90	1,250					259			onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	druppels voor oraal gebruik	or	vitamine d deficientie				90	360									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	druppels voor oraal gebruik	or	vitamine d deficientie				360	4320									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	druppels voor oraal gebruik	or	vitamine d deficientie				4320	7200									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	tablet	or	vitamine d deficientie					90					259				onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	tablet	or	vitamine d deficientie					90		1,250				259			onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	tablet	or	vitamine d deficientie					90	1,250					259			onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	tablet	or	vitamine d deficientie				90	360									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	tablet	or	vitamine d deficientie				360	4320									onderhoud	colecalciferol	1	IE		dag																												
colecalciferol	tablet	or	vitamine d deficientie				4320	7200									onderhoud	colecalciferol	1	IE		dag																												
colestyramine	capsule	or	cholestatische jeuk, hypercholesterolemie.					2160									onderhoud	colestyramine	1; 2	mg		dag																		1000	16000									
colestyramine	capsule	or	cholestatische jeuk, hypercholesterolemie.				2160	7200									onderhoud	colestyramine	1; 2	mg		dag																		12000	24000									
colestyramine	poeder voor oraal gebruik	or	cholestatische jeuk, hypercholesterolemie.					2160									onderhoud	colestyramine	1; 2	gram		dag																		1	16									
colestyramine	poeder voor oraal gebruik	or	cholestatische jeuk, hypercholesterolemie.				2160	7200									onderhoud	colestyramine	1; 2	gram		dag																		12	24									
