SortNo	Generic	Shape	Brand	Route	GPKs	Indication	ScheduleText	Dep	Gender	MinAge	MaxAge	MinWeight	MaxWeight	MinBSA	MaxBSA	MinGestAge	MaxGestAge	MinPMAge	MaxPMAge	DoseType	DoseText	UseGenericName	Substance	Freqs	DoseUnit	AdjustUnit	FreqUnit	RateUnit	MinTime	MaxTime	TimeUnit	MinInt	MaxInt	IntUnit	MinDur	MaxDur	DurUnit	MinQty	MaxQty	NormQtyAdj	MinQtyAdj	MaxQtyAdj	MinPerTime	MaxPerTime	NormPerTimeAdj	MinPerTimeAdj	MaxPerTimeAdj	MinRate	MaxRate	MinRateAdj	MaxRateAdj
119	alfacalcidol			ORAAL		Rachitis	1 maand tot 18 jaar 0,25 - 0,5 microg./dag in 1 dosis. Max: 2 microg./dag.			30	6574									discontinuous			alfacalcidol	1	microg	kg	dag																0.25	2							
122	alfentanil			INTRAVENEUS		Pijnstilling bij spontaan ademend kind	1 maand tot 18 jaar 5 microg./kg/dosis, éénmalig. Onder bewaking anaesthesist, neonatoloog of intensivist.			30	6574									once			alfentanil		microg	kg														5											
123	alfentanil			INTRAVENEUS		Pijnstilling tijdens anaesthesie (aan beademing)	1 maand tot 18 jaar Startdosering: 10 - 20 microg./kg/dosis, bolus. Onderhoudsdosering: 1 - 3 microg./kg/minuut, continu infuus.			30	6574									once			alfentanil		microg	kg															10	20									
123	alfentanil			INTRAVENEUS		Pijnstilling tijdens anaesthesie (aan beademing)	1 maand tot 18 jaar Startdosering: 10 - 20 microg./kg/dosis, bolus. Onderhoudsdosering: 1 - 3 microg./kg/minuut, continu infuus.			30	6574									continuous			alfentanil		microg	kg		min																						1	3
124	algeldraat			ORAAL		Hyperfosfatemie	1 maand tot 18 jaar 40 - 200 mg/kg/dag in 3 - 4 doses. Max: 10 g/dag. Er is zeer weinigonderzoek verricht naar de toepassing van algeldraat bij kinderen met hyperfosfatemie			30	6574									discontinuous	onderhoud			3;4	mg	kg	dag																			40	200				
125	alginezuur/natriumwaterstofcarbonaat/calciumcarbonaat	SUSPENSIE VOOR ORAAL GEBRUIK		ORAAL		Gastro-oesofageale reflux	1 jaar tot 10 jaar 10 ml/dosis, zo nodig max 4 dd. Advies inname/toediening: Innemen na de maaltijd en voor het slapen gaan.			365	3652									discontinuous	onderhoud			1;2;3;4	mL		dag											10	10												
128	alginezuur/natriumwaterstofcarbonaat/calciumcarbonaat	SUSPENSIE VOOR ORAAL GEBRUIK		ORAAL		Gastro-oesofageale reflux	10 jaar tot 18 jaar 10 - 20 ml/dosis, zo nodig max 4 dd. Advies inname/toediening: Innemen na de maaltijd en voor het slapen gaan.			3652	6574									discontinuous	onderhoud			1;2;3;4	mL		dag											10	20												
131	alginezuur/calciumcarbonaat/magnesiumsubcarbonaat	kauwtablet		ORAAL		Gastro-oesofageale reflux	10 jaar tot 18 jaar 350 - 1.050 mg/dosis, zo nodig max 4 dd. Advies inname/toediening: Innemen na de maaltijd en voor het slapen gaan.			3652	6574									discontinuous	onderhoud		alginezuur	1;2;3;4	mg		dag											350	1050												
134	alginezuur/natriumwaterstofcarbonaat/calciumcarbonaat			ORAAL		Gastro-oesofageale reflux	a terme neonaat en < 4,5 kg 1 sachet per dosis ( bevat 225 mg natrium alginaat en 87.5 mg magnesium alginaat), max 6 sachets per 24 uurAlleen gebruiken onder medisch toezicht				30		4500			259																																			
137	alginezuur/natriumwaterstofcarbonaat/calciumcarbonaat			ORAAL		Gastro-oesofageale reflux	1 maand tot 2 jaar en ≥ 4,5 kg 2 sachets per dosis ( bevat 225 mg natrium alginaat en 87.5 mg magnesium alginaat), max 12 sachets per 24 uur.			30	730																																								
140	alglucosidase alfa			INTRAVENEUS		Enzyme replacement therapie bij ziekte van Pompe	a terme neonaat 20 mg/kg/dosis 1 x per 2 weken. Start infusie snelheid: 1 mg/kg/uur, geleidelijk elke 30 minuten verhogen met 2 mg/kg/uur als er geen infusiegerelateerde bijwerkingen zijn tot maximumsnelheid van 7 mg/kg/uur is bereikt.				30					259				timed			alglucosidase alfa	1	mg	kg	2 weken	uur	4	20	uur									20											
141	alglucosidase alfa			INTRAVENEUS		Enzyme replacement therapie bij ziekte van Pompe	1 maand tot 18 jaar 20 mg/kg/dosis 1 x per 2 weken. Start infusie snelheid: 1 mg/kg/uur, geleidelijk elke 30 minuten verhogen met 2 mg/kg/uur als er geen infusiegerelateerde bijwerkingen zijn tot maximumsnelheid van 7 mg/kg/uur is bereikt.			30	6574									timed			alglucosidase alfa	1	mg	kg	2 weken	uur	4	20	uur									20											
146	alimemazine			ORAAL		Als adjuvans bij andere sedativa	2 jaar tot 18 jaar 0,2 - 0,5 mg/kg/dosis, éénmalig. Maximale dosering per gift: 10 mg/dosis. Advies inname/toediening: 'S avonds innemenGeen eerste keuze middel. Vanwege beperkt aantal onderzoeken die hiernaar verricht zijn, wordt het doseeradvies van het WKZ-formularium aangehouden.			730	6574									once			alimemazine		mg	kg													10		0.2	0.5									
142	alimemazine			ORAAL		Premedicatie	3 jaar tot 18 jaar 2 - 4 mg/kg/dosis in 1 dosis. Max: 50 mg/dag. 2 uur voorafgaand aan ingreep of anesthesie toedienen,			1095	6574									discontinuous			alimemazine	1	mg	kg	dag												50		2	4									
143	alimemazine			ORAAL		Preventie en symptomatische behandeling van allergische aandoeningen waarbij niet-sederende antihistaminica niet of onvoldoende effectief zijn gebleken	3 jaar tot 5 jaar 2,5 - 10 mg/dag in 3 doses.Dosering in 3 doses verdelen, waarbij in de avond een hogere dosis dan in de ochtend en middag gegeven kan worden.			1095	1826									discontinuous			alimemazine	3	mg		dag																2.5	10							
144	alimemazine			ORAAL		Preventie en symptomatische behandeling van allergische aandoeningen waarbij niet-sederende antihistaminica niet of onvoldoende effectief zijn gebleken	5 jaar tot 12 jaar 2,5 - 15 mg/dag in 3 doses.Dosering in 3 doses verdelen, waarbij in de avond een hogere dosis dan in de ochtend en middag gegeven kan worden.			1826	4383									discontinuous			alimemazine	3	mg		dag																2.5	15							
145	alimemazine			ORAAL		Preventie en symptomatische behandeling van allergische aandoeningen waarbij niet-sederende antihistaminica niet of onvoldoende effectief zijn gebleken	12 jaar tot 18 jaar 10 - 20 mg/dag in 2 - 4 doses.Dosering verdelen, waarbij in de avond een hogere dosis dan in de ochtend en middag gegeven kan worden.			4383	6574									discontinuous			alimemazine	2;3;4	mg		dag																10	20							
151	allopurinol			INTRAVENEUS		Hyperurikemie, tumor lysis syndroom	1 maand tot 18 jaar 200 - 300 mg/m²/dag in 3 doses. Max: 400 mg/dag.			30	6574									discontinuous			allopurinol	3	mg	m2	dag																	400		200	300				
149	allopurinol			ORAAL		Glycogeen stapelingsziekte	0 jaar tot 18 jaar 10 - 20 mg/kg/dag in 3 doses. Max: 600 mg/dag. Behandeling door of na overleg met een kinderarts-specialist (metabole ziekten) die ervaring heeft met gebruik van allopurinol voor deze indicatie.			0	6574									discontinuous			allopurinol	3	mg	kg	dag																	600		10	20				
150	allopurinol			ORAAL		Hyperurikemie, tumor lysis syndroom	1 maand tot 18 jaar 300 mg/m²/dag in 3 doses. Max: 600 mg/dag. Overeenkomend met 10-20 mg/kg/dagStart 24-48 uur voor aanvang chemotherapie			30	6574									discontinuous			allopurinol	3	mg	m2	dag																	600	300						
152	allopurinol			ORAAL		Lesch-Nyhan, HPRT deficientie	0 jaar tot 18 jaar 4 - 10 mg/kg/dag in 1 - 3 doses. Max: 600 mg/dag.			0	6574									discontinuous			allopurinol	1;2;3	mg	kg	dag																	600		4	10				
154	alprazolam			ORAAL		Kortdurende behandeling van acute angst en plotselinge extreme slapeloosheid	6 jaar tot 18 jaar Startdosering: 0,125 mg/dag, éénmalig. Onderhoudsdosering: Op geleide van klinisch beeld verhogen met stappen van 0,125-0,25 mg/dosis tot max 0,05 mg/kg/dag in 3 doses. Max: 3 mg/dag. Advies inname/toediening: De dagdosis indien mogelijk verdelen over 3 doses.Bij plotselinge extreme slapeloosheid: alleen voor de nacht innemen; dosering op geleide van effect ophogen tot max 0,05 mg/kg, maar niet hoger dan 3 mg/dag.De effectiviteit bij de behandeling van acute angst is discutabel.			2191	6574									discontinuous	startdoseing		alprazolam	1	mg		dag								1	1	dag						0.125	0.125							
155	alprazolam			ORAAL		Kortdurende behandeling van acute angst en plotselinge extreme slapeloosheid	6 jaar tot 18 jaar Startdosering: 0,125 mg/dag, éénmalig. Onderhoudsdosering: Op geleide van klinisch beeld verhogen met stappen van 0,125-0,25 mg/dosis tot max 0,05 mg/kg/dag in 3 doses. Max: 3 mg/dag. Advies inname/toediening: De dagdosis indien mogelijk verdelen over 3 doses.Bij plotselinge extreme slapeloosheid: alleen voor de nacht innemen; dosering op geleide van effect ophogen tot max 0,05 mg/kg, maar niet hoger dan 3 mg/dag.De effectiviteit bij de behandeling van acute angst is discutabel.			2191	6574									discontinuous	onderhoudsdosering		alprazolam	3	mg	kg	dag																0.125	3			0.05				
153	alprazolam			ORAAL		Premedicatie	6 maanden tot 18 jaar 0,015 mg/kg/dag in 3 doses. Max: 0,06 mg/kg/dag. Zo nodig de dosis ophogen met stappen van 0,125-0,25 mg/dosis.De effectiviteit van alprazolam voor deze indicatie is discutabel.			182	6574									discontinuous			alprazolam	3	mg	kg	dag																			0.015	0.06				
156	alprostadil			INTRAVENEUS		Openhouden ductus arteriosus, in afwachting van operatie	a terme neonaat 0,01 - 0,1 microg./kg/minuut, continu infuus. Dosering titreren op basis van het effect. Nadat het gewenste effect bereikt is, de dosering verlagen naar de laagst mogelijke dosis waarbij effect gehandhaafd blijft.Behandeling zo snel mogelijk starten en bij voorkeur bij een postnatale leeftijd van 4 dagen of jonger.				30					259				continuous	dosering in microg		alprostadil		microg	kg		min																						0.01	0.1
156	alprostadil			INTRAVENEUS		Openhouden ductus arteriosus, in afwachting van operatie	a terme neonaat 0,01 - 0,1 microg./kg/minuut, continu infuus. Dosering titreren op basis van het effect. Nadat het gewenste effect bereikt is, de dosering verlagen naar de laagst mogelijke dosis waarbij effect gehandhaafd blijft.Behandeling zo snel mogelijk starten en bij voorkeur bij een postnatale leeftijd van 4 dagen of jonger.				30					259				continuous	dosering in nanog		alprostadil		nanog	kg		min																						5	100
157	alteplase			INTRAVENEUS		Trombolyse	0 jaar tot 18 jaar Startdosering: 0,01 - 0,1 mg/kg/uur, continu infuus. Onderhoudsdosering: Indien geen afname trombus en bij geen bloedingsneiging: elke 6 tot 12 uur ophogen tot max 0,5 mg/kg/uur, continu infuus. Behandelduur: Trombolyse totdat trombus kleiner en minder bedreigend is. Twee uur na stoppen met trombolyse, starten met therapeutische dosering LMWH of ongefractioneerde heparine.Toediening: bij voorkeur via centraal veneuze catheterBij neonaten ivm fysiologisch laag plasminogeen: Plasma (FFP) 10 ml/kg voor start r-tPA en daarna 1 dd tijdens r-tPA.Bij bloeding: r-tPA stop, plasma (FFP) 10-20 ml/kg, evt tranexaminezuur 50 mg/kg/day iv in 4 doses.			0	6574									continuous	startdosering		alteplase		mg	kg		uur							6	12	uur													0.01	0.1
158	alteplase			INTRAVENEUS		Trombolyse	0 jaar tot 18 jaar Startdosering: 0,01 - 0,1 mg/kg/uur, continu infuus. Onderhoudsdosering: Indien geen afname trombus en bij geen bloedingsneiging: elke 6 tot 12 uur ophogen tot max 0,5 mg/kg/uur, continu infuus. Behandelduur: Trombolyse totdat trombus kleiner en minder bedreigend is. Twee uur na stoppen met trombolyse, starten met therapeutische dosering LMWH of ongefractioneerde heparine.Toediening: bij voorkeur via centraal veneuze catheterBij neonaten ivm fysiologisch laag plasminogeen: Plasma (FFP) 10 ml/kg voor start r-tPA en daarna 1 dd tijdens r-tPA.Bij bloeding: r-tPA stop, plasma (FFP) 10-20 ml/kg, evt tranexaminezuur 50 mg/kg/day iv in 4 doses.			0	6574									once	onderhoudsdosering		alteplase		mg	kg		uur																						0.1	0.5
159	aluminiumacetotartraat			AURICULAIR	101656	Otitis externa	1 maand tot 18 jaar In het aangedane oor: 3 druppel(s)/dosis 3 maal daags. Gedurende 1-2 wekenBij een gesloten trommelvlies: gebruik druppels 1,2% of 12%Bij een geperforeerd trommelvlies: gebruik druppels 1,2% Er zijn geen studies verricht naar de toepassing van aluminiumacetotartraat oordruppels bij kinderen. De toepassing is afgeleid van de toepassing bij volwassenen (zie referenties)			30	6574									discontinuous	bij gesloten trommelvlies			3	druppel		dag											3	3												
159	aluminiumacetotartraat			AURICULAIR	101664	Otitis externa	1 maand tot 18 jaar In het aangedane oor: 3 druppel(s)/dosis 3 maal daags. Gedurende 1-2 wekenBij een gesloten trommelvlies: gebruik druppels 1,2% of 12%Bij een geperforeerd trommelvlies: gebruik druppels 1,2% Er zijn geen studies verricht naar de toepassing van aluminiumacetotartraat oordruppels bij kinderen. De toepassing is afgeleid van de toepassing bij volwassenen (zie referenties)			30	6574									discontinuous	bij geperforeerd trommelvlies			3	druppel		dag											3	3												
165	amfotericine b			INHALATIE		Pulmirespiratoire mycosen	1 maand tot 18 jaar Liposomale formulering: 50 mg/dosis 1 x per week.			30	6574									discontinuous				1	mg		week											50	50												
160	amfotericine b			ORAAL		Selectieve darmdecontaminatie, stomatitis mycotica en (profylaxe) intestinale schimmelinfecties	0 jaar tot 18 jaar 400 mg/dag in 4 doses.Advies inname/toediening: Suspensie zo lang mogelijk in de mond houden			0	6574									discontinuous			amfotericine b	4	mg		dag																400	400							
162	amfotericine b lipidencomplex			INTRAVENEUS		Systemische mycosen	0 jaar tot 18 jaar Amfotericine in liposomen of lipidencomplex: 3 - 5 mg/kg/dag in 1 dosisDe fabrikant van Abelcet adviseert een testdosis van 0,1 mg/kg, max 1 mg. Hier is geen wetenschappelijke onderbouwing voor. Het levert ook geen betrouwbare voorspelling op voor de tolerantie.Doseringen boven 5,5 mg/kg/dag zijn niet effectiever dan de lagere doseringen, terwijl met een potentieel grotere toxiciteit rekening gehouden dient te worden. Cumulatieve doses boven 10 gram moeten daarom ook vermeden worden. (SmPC Abelcet)			0	6574									discontinuous			amfotericine b lipidencomplex	1	mg	kg	dag																			3	5				
164	amfotericine b lipidencomplex			INTRAVENEUS		Viscerale Leishmaniasis	1 maand tot 18 jaar Amfotericine in liposomen of lipidencomplex: 3 - 4 mg/kg/dag in 1 dosis Gedurende 10 dagen. Alternatief: 1-1,5 mg/kg/dag in 1 dosis gedurende 21 dagen. Bij blijvende immuungecompromitteerde status is secundaire profylaxe geïndiceerd ter voorkoming van recidief. Overleg met een expert ten aanzien van type, dosering en interval van de secundaire profylaxe.			30	6574									discontinuous			amfotericine b lipidencomplex	1	mg	kg	dag								10	10	dagen									3	4				
164	amfotericine b lipidencomplex			INTRAVENEUS		Viscerale Leishmaniasis	1 maand tot 18 jaar Amfotericine in liposomen of lipidencomplex: 3 - 4 mg/kg/dag in 1 dosis Gedurende 10 dagen. Alternatief: 1-1,5 mg/kg/dag in 1 dosis gedurende 21 dagen. Bij blijvende immuungecompromitteerde status is secundaire profylaxe geïndiceerd ter voorkoming van recidief. Overleg met een expert ten aanzien van type, dosering en interval van de secundaire profylaxe.			30	6574									discontinuous	alternatief		amfotericine b lipidencomplex	1	mg	kg	dag								21	21	dagen									1	1.5				
161	amfotericine b liposomaal			INTRAVENEUS		Systemische mycosen	0 jaar tot 18 jaar Amfotericine in liposomen of lipidencomplex: 3 - 5 mg/kg/dag in 1 dosisDe fabrikant van Abelcet adviseert een testdosis van 0,1 mg/kg, max 1 mg. Hier is geen wetenschappelijke onderbouwing voor. Het levert ook geen betrouwbare voorspelling op voor de tolerantie.Doseringen boven 5,5 mg/kg/dag zijn niet effectiever dan de lagere doseringen, terwijl met een potentieel grotere toxiciteit rekening gehouden dient te worden. Cumulatieve doses boven 10 gram moeten daarom ook vermeden worden. (SmPC Abelcet)			0	6574									discontinuous			amfotericine b liposomaal	1	mg	kg	dag																			3	5				
163	amfotericine b liposomaal			INTRAVENEUS		Viscerale Leishmaniasis	1 maand tot 18 jaar Amfotericine in liposomen of lipidencomplex: 3 - 4 mg/kg/dag in 1 dosis Gedurende 10 dagen. Alternatief: 1-1,5 mg/kg/dag in 1 dosis gedurende 21 dagen. Bij blijvende immuungecompromitteerde status is secundaire profylaxe geïndiceerd ter voorkoming van recidief. Overleg met een expert ten aanzien van type, dosering en interval van de secundaire profylaxe.			30	6574									discontinuous			amfotericine b liposomaal	1	mg	kg	dag								10	10	dagen									3	4				
163	amfotericine b liposomaal			INTRAVENEUS		Viscerale Leishmaniasis	1 maand tot 18 jaar Amfotericine in liposomen of lipidencomplex: 3 - 4 mg/kg/dag in 1 dosis Gedurende 10 dagen. Alternatief: 1-1,5 mg/kg/dag in 1 dosis gedurende 21 dagen. Bij blijvende immuungecompromitteerde status is secundaire profylaxe geïndiceerd ter voorkoming van recidief. Overleg met een expert ten aanzien van type, dosering en interval van de secundaire profylaxe.			30	6574									discontinuous	alternatief		amfotericine b liposomaal	1	mg	kg	dag								21	21	dagen									1	1.5				
166	amikacine			INTRAVENEUS		Infecties bij Cystic Fibrosis	1 maand tot 18 jaar 20 - 30 mg/kg/dag in 1 dosisToedienen in 30 min. Dosis bijstellen op geleide plasmaconcentratie.			30	6574									timed			amikacine	1	mg	kg	dag	uur	30	40	min															20	30				
167	amikacine			INTRAVENEUS		Kortdurende behandeling van ernstige infecties veroorzaakt door voor amikacine gevoelige stammen van Gram negatieve micro-organismen, inclusief Pseudomonas species, speciaal indien deze resistent zijn tegen andere aminoglycosiden	Prematuren Postnatale leeftijd 0 dagen tot 14 dagen en < 1200 gr 16 mg/kg per 48 uren in 1 dosisAdvies inname/toediening: toedienen in 30 minutenDoseren op geleide van plasmaconcentratie. Dalspiegelbepaling voor de tweede gift.			0	14		1200				258			timed			amikacine	1	mg	kg	48 uur	uur	30	40	min														16						
168	amikacine			INTRAVENEUS		Kortdurende behandeling van ernstige infecties veroorzaakt door voor amikacine gevoelige stammen van Gram negatieve micro-organismen, inclusief Pseudomonas species, speciaal indien deze resistent zijn tegen andere aminoglycosiden	Prematuren Postnatale leeftijd 0 dagen tot 14 dagen en 1200 tot 2800 gr 15 mg/kg per 36 uren in 1 dosisAdvies inname/toediening: Toedienen in 30 minDoseren op geleide van plasmaconcentratie. Dalspiegelbepaling voor de tweede gift.			0	14	1200	2800				258			timed			amikacine	1	mg	kg	36 uur	uur	30	40	min														15						
169	amikacine			INTRAVENEUS		Kortdurende behandeling van ernstige infecties veroorzaakt door voor amikacine gevoelige stammen van Gram negatieve micro-organismen, inclusief Pseudomonas species, speciaal indien deze resistent zijn tegen andere aminoglycosiden	Prematuren Postnatale leeftijd 0 dagen tot 14 dagen en ≥ 2800 gr 15 mg/kg/dag in 1 dosis Doseren op geleide van plasmaconcentratie. Dalspiegelbepaling voor de tweede gift.. Advies inname/toediening: Toedienen in 30 min.			0	14						258			timed			amikacine	1	mg	kg	dag	uur	30	40	min														15						
170	amikacine			INTRAVENEUS		Kortdurende behandeling van ernstige infecties veroorzaakt door voor amikacine gevoelige stammen van Gram negatieve micro-organismen, inclusief Pseudomonas species, speciaal indien deze resistent zijn tegen andere aminoglycosiden	Prematuren Postnatale leeftijd 14 dagen tot 1 maand en < 1200 gr 20 mg/kg per 36 uren in 1 dosisAdvies inname/toediening: Toedienen in 30 min.Doseren op geleide van plasmaconcentratie. Dalspiegelbepaling voor de tweede gift.			14	30		1200				258			timed			amikacine	1	mg	kg	36 uur	uur	30	40	min														20						
171	amikacine			INTRAVENEUS		Kortdurende behandeling van ernstige infecties veroorzaakt door voor amikacine gevoelige stammen van Gram negatieve micro-organismen, inclusief Pseudomonas species, speciaal indien deze resistent zijn tegen andere aminoglycosiden	Prematuren Postnatale leeftijd 14 dagen tot 1 maand en ≥ 1200 gr 18 mg/kg/dag in 1 dosisAdvies inname/toediening: Toedienen in 30 min.Doseren op geleide van plasmaconcentratie. Dalspiegelbepaling voor de tweede gift.			14	30						258			timed			amikacine	1	mg	kg	dag	uur	30	40	min														18						
172	amikacine			INTRAVENEUS		Kortdurende behandeling van ernstige infecties veroorzaakt door voor amikacine gevoelige stammen van Gram negatieve micro-organismen, inclusief Pseudomonas species, speciaal indien deze resistent zijn tegen andere aminoglycosiden	a terme neonaat 15 mg/kg/dag in 1 dosisAdvies inname/toediening: Toedienen in 30 minDoseren op geleide van plasmaconcentratie. Dalspiegelbepaling voor de tweede gift.				30					259				timed			amikacine	1	mg	kg	dag	uur	30	40	min														15						
173	amikacine			INTRAVENEUS		Kortdurende behandeling van ernstige infecties veroorzaakt door voor amikacine gevoelige stammen van Gram negatieve micro-organismen, inclusief Pseudomonas species, speciaal indien deze resistent zijn tegen andere aminoglycosiden	1 maand tot 18 jaar 15 mg/kg/dag in 1 dosis. Max: 1.500 mg/dag. Advies inname/toediening: Toedienen in 30 minDoseren op geleide van plasmaconcentratie. Dalspiegelbepaling voor de tweede gift.			30	6574									timed			amikacine	1	mg	kg	dag	uur	30	40	min													1500	15						
176	amiodaron			INTRAVENEUS		Ernstige therapieresistente hartritmestoornissen	1 maand tot 18 jaar Startdosering: 5 mg/kg/dosis in 60 min. Onderhoudsdosering: 5 - 15 microg./kg/minuut, continu infuus. Amiodaron IV wordt gebruikt bij patiënten waarbij een snelle respons gewenst is of orale toediening niet mogelijk is. De intraveneuze toediening dient uitsluitend onder permanente monitoring van het ECG en de arteriële bloeddruk in de kliniek plaats te vinden.			30	6574									once			amiodaron		mg	kg			30	60	min									5											
177	amiodaron			INTRAVENEUS		Ernstige therapieresistente hartritmestoornissen	1 maand tot 18 jaar Startdosering: 5 mg/kg/dosis in 60 min. Onderhoudsdosering: 5 - 15 microg./kg/minuut, continu infuus. Amiodaron IV wordt gebruikt bij patiënten waarbij een snelle respons gewenst is of orale toediening niet mogelijk is. De intraveneuze toediening dient uitsluitend onder permanente monitoring van het ECG en de arteriële bloeddruk in de kliniek plaats te vinden.			30	6574									continuous			amiodaron		microg	kg		min																						5	15
174	amiodaron			ORAAL		Ernstige therapieresistente hartritmestoornissen	1 maand tot 18 jaar Startdosering: 10 mg/kg/dag in 2 doses. Startdosering gedurende 10 dagen. Onderhoudsdosering: 2,5 - 5 mg/kg/dag in 1 - 2 doses. Max: 600 mg/dag.			30	6574									discontinuous			amiodaron	2	mg	kg	dag																	600	10						
175	amiodaron			ORAAL		Ernstige therapieresistente hartritmestoornissen	1 maand tot 18 jaar Startdosering: 10 mg/kg/dag in 2 doses. Startdosering gedurende 10 dagen. Onderhoudsdosering: 2,5 - 5 mg/kg/dag in 1 - 2 doses. Max: 600 mg/dag.			30	6574									discontinuous			amiodaron	1;2	mg	kg	dag																	600		2.5	5				
178	amitriptyline			ORAAL		Enuresis nocturna	6 jaar tot 18 jaar 1 - 1,5 mg/kg/dag in 1 dosis. Max: 50 mg/dag. De dosis dient geleidelijk te worden verhoogd.Doses moeten 1-1,5 uur voor het slapengaan worden toegediend.Behandelingsduur: max. 3 maanden. Indien herhaalde cycli nodig zijn, dient elke 3 maanden een medische beoordeling worden uitgevoerd.Behandeling met amitriptyline mag niet plotseling worden gestaakt vanwege het optreden van ontwenningsverschijnselen; de dosering moet geleidelijk worden verminderd.			2191	6574									discontinuous			amitriptyline	1	mg	kg	dag									3	maanden							50		1	1.5				
179	amitriptyline			ORAAL		Enuresis nocturna	≥ 11 jaar 25 - 50 mg/dag in 1 dosis			4017										discontinuous			amitriptyline	1	mg		dag																25	50							
181	amitriptyline			ORAAL		Hoofdpijn (profylaxe)	6 jaar tot 18 jaar Startdosering: voor de nacht: 10 mg/dag in 1 dosisOnderhoudsdosering: langzaam ophogen met 10 mg/dag per 4-6 weken naar 10 - 30 mg/dag in 1 dosis. Max: 30 mg/dag. Behandeling met amitriptyline mag niet plotseling worden gestaakt vanwege het optreden van ontwenningsverschijnselen; de dosering moet geleidelijk worden verminderd.Uit de studie van Powers (2017) blijkt dat de werkzaamheid van amitriptyline bij migraine profylaxe niet effectiever is t.o.v. placebo. Desondanks menen experts dat in individuele gevallen behandeling met amitriptyline overwogen kan worden.			2191	6574									discontinuous	startdosering		amitriptyline	1	mg		dag																10	10							
182	amitriptyline			ORAAL		Hoofdpijn (profylaxe)	6 jaar tot 18 jaar Startdosering: voor de nacht: 10 mg/dag in 1 dosisOnderhoudsdosering: langzaam ophogen met 10 mg/dag per 4-6 weken naar 10 - 30 mg/dag in 1 dosis. Max: 30 mg/dag. Behandeling met amitriptyline mag niet plotseling worden gestaakt vanwege het optreden van ontwenningsverschijnselen; de dosering moet geleidelijk worden verminderd.Uit de studie van Powers (2017) blijkt dat de werkzaamheid van amitriptyline bij migraine profylaxe niet effectiever is t.o.v. placebo. Desondanks menen experts dat in individuele gevallen behandeling met amitriptyline overwogen kan worden.			2191	6574									discontinuous	onderhoudsdosering		amitriptyline	1	mg		dag																10	30							
180	amitriptyline			ORAAL		Neuropathische pijn	6 jaar tot 18 jaar Start: 5 - 10 mg/dag in 1 dosis voor de nacht. Indien nodig langzaam ophogen tot max. 25 mg/dag. Behandeling met amitriptyline mag niet plotseling worden gestaakt vanwege het optreden van ontwenningsverschijnselen; de dosering moet geleidelijk worden verminderd.			2191	6574									discontinuous			amitriptyline	1	mg		dag																5	25							
183	amlodipine			ORAAL		Hypertensie	< 1 maand Er zijn geen onderzoeken bij deze leeftijdscategorie uitgevoerd				30												amlodipine																												
184	amlodipine			ORAAL		Hypertensie	1 maand tot 18 jaar 0,1 - 0,3 mg/kg/dag in 1 - 2 doses. Max: 0,6mg/kg/dag, maar niet hoger dan 20 mg/dag. Jonge kinderen (<6 jaar) 2 maal daags doseren. Dosisaanpassingen niet vaker dan eens per 5 – 7 dagen.			30	6574									discontinuous	onderhoud		amlodipine	1;2	mg	kg	dag																	20		0.1	0.6				
185	ammoniumchloride			INTRAVENEUS		Aanzuren urine	1 maand tot 18 jaar 75 mg/kg/dag in 4 doses. Max: 6 g/dag.			30	6574									discontinuous			ammoniumchloride	4	mg	kg	dag																	6000	75						
187	ammoniumchloride			INTRAVENEUS		Metabole alkalose	1 maand tot 18 jaar Startdosering: Dosis mmol NH4Cl = x base-overschot (mmol/L); 50% van dosis toedienen over minimaal 3 uur, daarna opnieuw evalueren. Onderhoudsdosering: titreren, de gebruikelijke dosis ligt meestal tussen de 50-100 mg/kg/dag. 0.3 L/kg in de formule is het extracellulaire bicarbonaat en de base excess is bepaald door lab en gerapporteerd met de arteriële bloedgassenVoor toedienen verdunnen tot 0,2 mmol/ml (max 0,4 mmol/ml). Maximale infusiesnelheid 1 mmol/kg/uur. Er is geen evidence omtrent het gebruik van ammoniumchloride bij kinderen voor metabole alkalose. De dosering wordt bepaald aan de hand van het gewicht gelijk aan de methoden gebruikt bij volwassenen			30	6574									once	start		ammoniumchloride																												
186	ammoniumchloride			ORAAL		Aanzuren urine	1 maand tot 18 jaar 75 mg/kg/dag in 4 doses. Max: 6 g/dag.			30	6574									discontinuous			ammoniumchloride	4	mg	kg	dag																	6000	75						
206	amoxicilline			INTRAVENEUS		Endocarditis profylaxe (ingrepen in mondholte, bovenste luchtwegen, tractus urogenitalis en tractus digestivus)	1 maand tot 18 jaar 30-60 minuten voor de ingreep: 50 mg/kg/dosis, éénmalig. Maximale dosering per gift: 2 g/dosis. Bij overgevoeligheid voor penicilline of behandeling met penicilline in de 7 dagen voorafgaand aan de ingreep: - bij ingrepen in de mondholte en bovenste luchtwegen: Clindamycine (voor dosis zie monografie clindamycine) - bij ingrepen in de tractus urogenitalis en tractus digestivus: Vancomycine (voor dosis zie monografie vancomycine)			30	6574									once			amoxicilline		mg	kg													2000	50											
189	amoxicilline			INTRAVENEUS		Ernstige bacteriele infecties	< 1 week en geboortegewicht < 2000 gr 50 mg/kg/dag in 2 doses.				7		2000							discontinuous			amoxicilline	2	mg	kg	dag																		50						
